title;number of words;number of sentences;number of unique words;number of paragraphs;average word length;average sentence length;average paragraph length in sentences;average paragraph length in words;sentiment negative;sentiment neutral;sentiment positive;sentiment compound
1. Date with Romance;1301;76;484;22;5.51575710991545;17.11842105263158;3.4545454545454546;59.13636363636363;0.057;0.825;0.118;0.9978
2. Meeting at the Pringles';1624;85;518;36;5.487684729064039;19.105882352941176;2.361111111111111;45.111111111111114;0.075;0.821;0.104;0.9956
3. Mrs. Ramsay's War;1317;52;481;24;5.599088838268793;25.326923076923077;2.1666666666666665;54.875;0.07;0.822;0.109;0.9937
4. In Clover;1669;66;563;21;5.517076093469143;25.28787878787879;3.142857142857143;79.47619047619048;0.094;0.789;0.117;0.9939
5. It's the Real Thing This Time;1281;45;517;9;5.442622950819672;28.466666666666665;5.0;142.33333333333334;0.1;0.79;0.11;0.9534
6. This Flower, Safety;2043;81;714;24;5.641213901125796;25.22222222222222;3.375;85.125;0.085;0.818;0.097;0.9865
7. As the Fruitful Vine;1802;76;624;20;5.502774694783573;23.710526315789473;3.8;90.1;0.087;0.765;0.148;0.9988
8. Lunch with Mr. Biddle;2015;87;720;15;5.711166253101737;23.160919540229884;5.8;134.33333333333334;0.087;0.747;0.166;0.9996
9. Battle of the Greeks;1817;81;590;34;5.588332416070446;22.432098765432098;2.3823529411764706;53.44117647058823;0.099;0.772;0.128;0.9957
10. Fin de Siecle;2369;145;711;35;5.356690586745462;16.337931034482757;4.142857142857143;67.68571428571428;0.069;0.824;0.106;0.9981
11. Literary Scandal at the Sewing Party;1923;79;665;37;5.622464898595944;24.341772151898734;2.135135135135135;51.972972972972975;0.091;0.811;0.098;0.8503
12. Goodbye, My Love;2728;151;783;42;5.3321114369501466;18.066225165562916;3.5952380952380953;64.95238095238095;0.078;0.837;0.086;0.9659
13. War Among Strangers;2412;122;680;47;5.36608623548922;19.770491803278688;2.595744680851064;51.319148936170215;0.099;0.805;0.096;0.81
14. Combined Operations;2086;108;655;29;5.440556088207095;19.314814814814813;3.7241379310344827;71.93103448275862;0.066;0.825;0.108;0.9983
15. Good Evening, Mrs. Craven;2592;128;695;30;5.292824074074074;20.25;4.266666666666667;86.4;0.078;0.8;0.122;0.999
16. The Hunger of Miss Burton;2242;95;765;23;5.5655664585191795;23.6;4.130434782608695;97.47826086956522;0.088;0.802;0.111;0.9975
17. It's the Reaction;3058;139;882;27;5.478744277305428;22.0;5.148148148148148;113.25925925925925;0.074;0.831;0.096;0.9987
18. Cut down the Trees;2598;105;793;31;5.467667436489608;24.742857142857144;3.3870967741935485;83.80645161290323;0.081;0.82;0.099;0.9955
19. Year of Decision;3205;143;906;27;5.436817472698908;22.412587412587413;5.296296296296297;118.70370370370371;0.104;0.756;0.14;0.9992
20. The Danger;2731;114;866;21;5.565726839985353;23.95614035087719;5.428571428571429;130.04761904761904;0.082;0.812;0.106;0.9976
21. The Waste of it All;2712;119;774;25;5.480825958702065;22.789915966386555;4.76;108.48;0.082;0.789;0.129;0.9993
